id,organization_id,date,program_id,program_name,amount,payment_method,check_number,description,is_expense,created_at,updated_at,created_by,updated_by
f3722488-a756-4852-8b8c-923989070817_1753322111905,C015857,2025-07-23 19:50:18.266,C015857_1753313543044,Peaches & Pears,74.47,square,,,false,2025-07-23 19:55:11.906,2025-07-23 19:55:11.906,f3722488-a756-4852-8b8c-923989070817,f3722488-a756-4852-8b8c-923989070817
f3722488-a756-4852-8b8c-923989070817_1753368068310,C015857,2025-07-24 08:36:41.853,C015857_1753313543044,Peaches & Pears,181.28,square,,,false,2025-07-24 08:41:08.311,2025-07-24 08:41:08.311,f3722488-a756-4852-8b8c-923989070817,f3722488-a756-4852-8b8c-923989070817
